#id: 1929149134
#name: M.tuberculosis - Whole organism (Integrated)
#score: 14.09
#description: integrated dataset: weighted average of all M.tuberculosis WHOLE_ORGANISM, Interaction consistency score: 14.09, Coverage: 85
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 85
#publication_year: 2021
#filename: 83332-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
8821010	83332.Rv3588c	276
8819204	83332.Rv1836c	276
8817801	83332.Rv0464c	276
8820885	83332.Rv3464	275
8820992	83332.Rv3570c	275
8817866	83332.Rv0525	274
8819931	83332.Rv2535c	274
8818667	83332.Rv1307	274
8817618	83332.Rv0284	272
8818561	83332.Rv1202	272
8819715	83332.Rv2327	272
8820808	83332.Rv3388	271
8819370	83332.Rv1996	270
8820093	83332.Rv2694c	270
8820053	83332.Rv2654c	269
8819224	83332.Rv1856c	268
8819973	83332.Rv2576c	266
8818674	83332.Rv1314c	266
8818825	83332.Rv1463	265
8820551	83332.Rv3140	265
8819045	83332.Rv1677	265
8818701	83332.Rv1340	264
8820356	83332.Rv2951c	263
8820682	83332.Rv3264c	263
8820822	83332.Rv3401	261
8820658	83332.Rv3240c	261
8818336	83332.Rv0983	260
8818805	83332.Rv1443c	260
8817717	83332.Rv0383c	258
8817753	83332.Rv0418	257
8820259	83332.Rv2857c	256
8819603	83332.Rv2224c	255
8817985	83332.Rv0638	255
8817979	83332.Rv0634A	255
8818778	83332.Rv1416	254
8820562	83332.Rv3151	253
8819118	83332.Rv1749c	253
8818968	83332.Rv1601	252
8819507	83332.Rv2131c	252
8818926	83332.Rv1559	252
8817473	83332.Rv0144	251
8820343	83332.Rv2939	250
8818022	83332.Rv0675	250
8821348	83332.Rv3920c	249
8820832	83332.Rv3411c	248
8818035	83332.Rv0688	248
8819140	83332.Rv1770	248
8819544	83332.Rv2166c	247
8818739	83332.Rv1377c	247
8820722	83332.Rv3304	246
8818024	83332.Rv0677c	245
8820737	83332.Rv3318	245
8818634	83332.Rv1275	245
8817470	83332.Rv0141c	245
8819890	83332.Rv2495c	244
8820620	83332.Rv3205c	244
8817484	83332.Rv0155	243
8818140	83332.Rv0788	242
8818279	83332.Rv0927c	240
8819189	83332.Rv1821	240
8818544	83332.Rv1185c	240
8817724	83332.Rv0390	240
8818661	83332.Rv1301	239
8821093	83332.Rv3671c	239
8817332	83332.Rv0006	239
8818459	83332.Rv1103c	239
